id,nombre,peso,id_dimension
1,Acceso a financiación,0,1
2,Dinamismo emprendedor,0,1
3,Infraestructura de apoyo,0,1
4,Políticas públicas de fomento,0,1
5,Competencias digitales de la población,0,2
6,Formación continua y reciclaje profesional,0,2
7,Talento profesional TIC,0,2
8,Atractivo y dinamismo del ecosistema,0,3
9,Entorno de provisión tecnológica,0,3
10,Transferencia de conocimiento,0,3
11,Acceso a infraestructuras,0,4
12,Disponibilidad de servicios públicos digitales,0,5
13,Interacción digital con la administración,0,5
14,Economía circular y estrategias verdes,0,6
15,Eficiencia y huella ambiental,0,6
16,Cultura de organización digital,0,7
17,Digitalización básica,0,7
18,E-commerce,0,7
19,Tecnologías avanzadas,0,7
